rid,node,behavior,code,lat_us,reply
2927,2,0,0,13947,"rid:2927:immediate"
2928,2,0,0,13944,"rid:2928:immediate"
2929,2,0,0,13940,"rid:2929:immediate"
2930,2,0,0,13904,"rid:2930:immediate"
2932,2,0,0,13841,"rid:2932:immediate"
2934,2,0,0,13831,"rid:2934:immediate"
2939,2,0,0,13810,"rid:2939:immediate"
2940,2,0,0,13807,"rid:2940:immediate"
2942,2,0,0,13799,"rid:2942:immediate"
2944,2,0,0,13792,"rid:2944:immediate"
2945,2,0,0,13789,"rid:2945:immediate"
2946,2,0,0,13785,"rid:2946:immediate"
2949,2,0,0,13775,"rid:2949:immediate"
2950,2,0,0,13772,"rid:2950:immediate"
2955,2,0,0,13750,"rid:2955:immediate"
2957,2,0,0,13743,"rid:2957:immediate"
2959,2,0,0,13735,"rid:2959:immediate"
2960,2,0,0,13731,"rid:2960:immediate"
2961,2,0,0,13728,"rid:2961:immediate"
2962,2,0,0,13724,"rid:2962:immediate"
2964,2,0,0,13716,"rid:2964:immediate"
2965,2,0,0,13712,"rid:2965:immediate"
2966,2,0,0,13706,"rid:2966:immediate"
2967,2,0,0,13703,"rid:2967:immediate"
2968,2,0,0,13699,"rid:2968:immediate"
2969,2,0,0,13693,"rid:2969:immediate"
2973,2,0,0,13675,"rid:2973:immediate"
2974,2,0,0,13668,"rid:2974:immediate"
2975,2,0,0,13665,"rid:2975:immediate"
2978,2,0,0,13651,"rid:2978:immediate"
2981,2,0,0,13640,"rid:2981:immediate"
